"","Year","Province","Hospitals","Other Institutions","Physicians","Other Professionals","Drugs","Capital","Public Health","Administration","Other Health Spending","Total"
"1","1975","Newfoundland and Labrador","3.5110000000000001","3.3660000000000001","8.2314821282267178E-2","10.867018093380787","39.421854327235039","6.6903278790960024E-5","0","1.1237543628024416","0.98006455651333957","59.352073064492672"
"2","1976","Newfoundland and Labrador","4.4610000000000003","4.4429999999999996","0.10093958892593166","11.7645465874699","63.876677884555377","3.0330234808388922E-4","0","1.246393190321903","0.98049982466793284","86.873360378289121"
"3","1977","Newfoundland and Labrador","5.2709999999999999","6.5579999999999998","8.6804720624936285E-2","14.49096744562361","92.738998297157835","1.4592185638230147E-4","0","1.475145045907849","1.1545097150082602","121.77557114617888"
"4","1978","Newfoundland and Labrador","7.6029999999999998","9.2319999999999993","0.18342070277644582","16.819383346735858","108.16096703307154","1.0094755112132916","0","1.9578723457184952","1.3162586441533739","146.28237758366902"
"5","1979","Newfoundland and Labrador","8.8960000000000008","12.063000000000001","0.34805034534098012","24.015192184030944","115.53536685602666","2.0509340247767214","0","0.30007372690932066","1.2152844639136278","164.42390160099825"
"6","1980","Newfoundland and Labrador","10.007","17.896999999999998","0.35653126632157733","25.838143951102953","121.78496529470296","2.3546261816136392E-4","0","1.1594152984641288","1.5810987911657455","178.62439006437552"
"7","1981","Newfoundland and Labrador","11.16","19.151","0.35237395211540223","25.101462687064007","148.48302280501312","1.9197608850820844","0","2.9398527447927649","1.7090169042827414","210.81648997835015"
"8","1982","Newfoundland and Labrador","13.907","18.637","0.30930417693942813","26.605866459411285","154.41328582641012","5.1391862956734259E-5","0","2.7485013827056619","1.8121641188562703","218.4331733561857"
"9","1983","Newfoundland and Labrador","15.24","18.238","0.41273815438906492","28.471241993400277","153.9700382623513","12.794219236209333","0","3.8731255244266811","1.7381026282708154","234.73746579904747"
"10","1984","Newfoundland and Labrador","15.641999999999999","17.207000000000001","0.66467139528327657","32.864738799004705","107.93158977396499","10.705229119638824","0","5.0073172342520555","1.7884561992188517","191.8110025213627"
"11","1985","Newfoundland and Labrador","16.181000000000001","17.920000000000002","0.65020394184578723","40.369870522328981","107.66266324686843","8.7829999999999995","0","3.3199461322112378","2.1673815130397509","197.05406535629419"
"12","1986","Newfoundland and Labrador","18.000695176068881","20.170000000000002","0.64754326075383506","45.049199522815684","79.823472006847737","0","0","3.134683222554179","2.7512859413206026","169.57687913036091"
"13","1987","Newfoundland and Labrador","19.557485820439432","22.297000000000001","0.84160668789808912","51.049006252685146","87.764164899628383","0","0","3.5423712603113122","2.959561646649195","188.01119656761156"
"14","1988","Newfoundland and Labrador","23.551957260946832","19.719000000000001","0.72699999999999998","53.882952780074469","91.040382009942249","0.77646174515753086","0","4.0030820516705878","3.4128677731455737","197.1137036209372"
"15","1989","Newfoundland and Labrador","24.890787","17.735749999999999","0.628","56.938793090241091","94.557316488778426","0.68234516998692107","0","4.5237102181091506","3.9422819262446183","203.89898389336022"
"16","1990","Newfoundland and Labrador","34.870347750000001","20.559000000000001","0.57299999999999995","54.737369564066874","98.971276731632429","1.0999874723065022","0","5.0420882960060647","4.6972744481990718","220.55034426221093"
"17","1991","Newfoundland and Labrador","45.627215499999998","24.207750000000001","0.54200000000000004","59.520869683685497","103.57989099276264","0.68975269744005219","0","8.1136234193320913","5.2487571661454728","247.52985945936575"
"18","1992","Newfoundland and Labrador","54.1983605","26.449750000000002","0.51900000000000002","64.556506543464749","111.44673612065829","2.7215635395123172E-2","0","7.0466757463042793","4.8809838147527573","269.12522836057519"
"19","1993","Newfoundland and Labrador","52.388118249999998","28.572387898664015","0.57840753252587607","66.017165556141521","116.01313970297296","0.3420115512664097","0","13.576520000000004","6.6776340993783538","284.16538459094915"
"20","1994","Newfoundland and Labrador","51.098185000000001","34.668138222167684","0.67074348695394703","70.013349835707615","119.10198163748576","0.30902863672611147","0","17.739169999999998","7.5364495306586825","301.1370463496998"
"21","1995","Newfoundland and Labrador","33.916911749999997","37.451969096365104","0.90715438597493259","79.840117220042885","127.95864736179108","3.745709380892265","0","3.4752006259999981","9.0616500540744731","296.35735987514073"
"22","1996","Newfoundland and Labrador","19.668412500000002","32.313635114943672","2.8270857999999999E-2","78.280558855999999","136.65736875632783","1.0817235456997139","0","1.2582702460000001","9.668756331612574","278.95699620858386"
"23","1997","Newfoundland and Labrador","21.187974999999998","34.373215822358247","0.55355999999999994","76.814909999999998","128.19394933396958","1.4556060036063139","0","14.828690000000002","7.0960441956708937","284.50395035560501"
"24","1998","Newfoundland and Labrador","21.780994999999997","24.992122727492053","0","83.809622000000005","137.96602461424615","39.5","0","7.4622399999999942","10.079078879936217","325.59008322167443"
"25","1999","Newfoundland and Labrador","24.7424675","32.47582172035505","0.74332000000000009","95.363858000000008","151.4077753504526","5.0927375780914161","0","12.802627800000002","9.9212827906395162","332.54989073953857"
"26","2000","Newfoundland and Labrador","27.906637499999999","31.256740724978048","0","103.41596508235573","168.18093866778193","8.7000000000000028","0","16.002431665468254","13.110084923186571","368.5727985637705"
"27","2001","Newfoundland and Labrador","29.130420000000001","30.563562766885706","2.4717437493188908E-2","115.9945223481425","177.52239419116376","12.5","0","9.4655009515389832","12.188389292525262","387.38950698774931"
"28","2002","Newfoundland and Labrador","32.003570000000003","30.591456266049303","0.40643885000000002","109.22638677899999","199.83984662240221","2.7999999999999972","0","28.118322584173519","13.037308784381333","416.02332988600637"
"29","2003","Newfoundland and Labrador","35.889687500000001","38.530918912371867","2.3567678759999997","118.36533814699999","218.46283505892367","4.7000000000000028","0","34.745662703868931","17.435992652936118","470.48720285110056"
"30","2004","Newfoundland and Labrador","39.247162500000009","52.492233176753665","0.60344115241635699","125.86475911016467","229.23646585027666","5.8999999999999986","0","38.499912462196619","17.318536820332856","509.16251107214077"
"31","2005","Newfoundland and Labrador","45.857692499999999","43.065282902200678","0.82027785852002033","136.91330565135857","246.21879586533515","22.999999999999996","0","36.46173798038847","17.834805949420097","550.17189870722302"
"32","2006","Newfoundland and Labrador","51.934042500000004","60.574075064724617","0.63472809294078358","139.73696577866812","259.88289271013662","12.600000000000001","0","20.948253051515159","15.359012727623416","561.66996992560871"
"33","2007","Newfoundland and Labrador","53.35970249999999","61.609559442911937","0.62740370059411965","152.43754900084673","294.34732828152391","7.2999999999999972","0","46.347039360661249","16.653420115059557","632.68200240159752"
"34","2008","Newfoundland and Labrador","54.905607499999995","69.100918661640634","3.2799617265941805","142.83105752708119","282.59161670385788","19.700000000000003","0","49.966319884261125","16.451292582088602","638.82677458552371"
"35","2009","Newfoundland and Labrador","57.827217499999996","71.220586912764432","1.0558511038841735E-2","165.25417060384402","308.98367487917091","10.9","0","50.37629235045376","16.432158871944928","681.00465962921692"
"36","2010","Newfoundland and Labrador","60.917580000000001","71.666855709449237","3.1439122022795831","170.37364008325781","354.08445116114495","16.2","0","55.51204409587563","26.967483671173468","758.86596692318074"
"37","2011","Newfoundland and Labrador","71.652514999999994","69.068854438605342","0.86132436995141981","189.72803026298132","355.80768671212712","23.963076923076926","0","57.748844181597008","21.332781893643091","790.16311378198213"
"38","2012","Newfoundland and Labrador","78.258984500000011","72.089876895685265","0.6585525593527416","198.82191196299985","352.30087371422303","51.603136427293236","0","61.681782595899151","32.74567594677837","848.1607946022317"
"39","2013","Newfoundland and Labrador","80.090033750000003","72.476020612282753","1.9541064169444882","212.05916697350449","352.44605423482983","13.1","0","61.608549235392196","34.489465156686364","828.22339637964012"
"40","2014","Newfoundland and Labrador","80.115313749999999","71.555810631588287","4.3518402433049106","214.53084937128716","355.82102916187483","39.642591844900252","0","61.164582656503782","31.422861127536745","858.60487878699598"
"41","2015","Newfoundland and Labrador","83.227951499999989","70.647284327804016","1.3391777691981734","217.09682459003875","362.44604981976255","18.357852581099998","0","59.770473015355805","33.676164194191138","846.56177779745053"
"42","2016 f","Newfoundland and Labrador","85.586931257979032","72.537988765012329","1.5264492458301686","224.6066781603644","377.40860108482661","16.554625548875524","0","61.398815971383321","36.285809255141835","875.90589928941324"
"43","2017 f","Newfoundland and Labrador","88.198131802808149","74.620307801331847","1.6083577146780843","232.12416647917505","394.28711907636432","23.321472910200001","0","63.378653659644705","38.487560467862387","916.02576991206456"
"44","1975","Prince Edward Island","0.81599999999999995","2.3050000000000002","1.2269685916305602E-2","3.5119915782829088","8.9590044376072751","3.4870569947293009E-4","0","0.24734530590594622","0.13603091460708899","15.987990628018999"
"45","1976","Prince Edward Island","0.95199999999999996","2.194","2.1867746673415629E-2","4.3596410963055767","7.7563652327908796","4.8723205181840968E-4","0","0.16489687060396416","0.14297716235784472","15.592235340783501"
